name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Damien Williams,FA,0.0,RB,231.0,damien williams,damienwilliams,2022,0.2,1.0
Washington Commanders,DST,14.0,DST,231.7,washington commanders,washingtoncommanders,2022,102.0,-1.0
Jimmy Garoppolo,LAR,7.0,QB,233.0,jimmy garoppolo,jimmygaroppolo,2022,164.8,11.0
Arizona Cardinals,DST,13.0,DST,233.5,arizona cardinals,arizonacardinals,2022,103.0,-1.0
Cade York,FA,0.0,K,234.0,cade york,cadeyork,2022,119.0,16.0
Rex Burkhead,FA,0.0,RB,234.3,rex burkhead,rexburkhead,2022,76.3,15.0
Kendrick Bourne,NE,10.0,WR,235.0,kendrick bourne,kendrickbourne,2022,79.8,15.0
Marcus Mariota,WAS,14.0,QB,235.5,marcus mariota,marcusmariota,2022,196.6,13.0
Kyle Rudolph,FA,0.0,TE,237.7,kyle rudolph,kylerudolph,2022,4.0,8.0
Brett Maher,FA,0.0,K,238.0,brett maher,brettmaher,2022,161.0,16.0
Zach Wilson,MIA,11.0,QB,239.0,zach wilson,zachwilson,2022,91.7,9.0
Sony Michel,FA,0.0,RB,240.0,sony michel,sonymichel,2022,24.9,10.0
Cameron Brate,FA,0.0,TE,240.0,cameron brate,cameronbrate,2022,37.4,10.0
Ameer Abdullah,FA,0.0,RB,242.5,ameer abdullah,ameerabdullah,2022,52.1,16.0
David Bell,CLE,9.0,WR,243.0,david bell,davidbell,2022,45.4,15.0
Jason Myers,SEA,11.0,K,244.0,jason myers,jasonmyers,2022,146.0,16.0
Joshua Kelley,FA,0.0,RB,244.0,joshua kelley,joshuakelley,2022,61.4,12.0
Jason Sanders,MIA,11.0,K,244.0,jason sanders,jasonsanders,2022,124.0,16.0
Mitchell Trubisky,BUF,7.0,QB,244.3,mitchell trubisky,mitchelltrubisky,2022,-1.0,-1.0
DeAndre Torrey,FA,0.0,RB,247.0,deandre torrey,deandretorrey,2022,-1.0,-1.0
Gus Edwards,FA,0.0,RB,247.0,gus edwards,gusedwards,2022,57.7,8.0
Chicago Bears,DST,14.0,DST,247.5,chicago bears,chicagobears,2022,59.0,-1.0
Jake Powell,FA,0.0,TE,248.0,jake powell,jakepowell,2022,-1.0,-1.0
Mo Alie-Cox,IND,14.0,TE,248.0,mo alie cox,moaliecox,2022,46.5,16.0
Anthony Johnson,FA,0.0,DT,249.0,anthony johnson,anthonyjohnson,2022,-1.0,-1.0
Samaje Perine,CIN,10.0,RB,249.5,samaje perine,samajeperine,2022,138.9,15.0
Davis Mills,HOU,6.0,QB,250.0,davis mills,davismills,2022,159.0,14.0
Tyler Conklin,LAC,8.0,TE,250.0,tyler conklin,tylerconklin,2022,128.2,16.0
Collin Hill,FA,0.0,QB,250.0,collin hill,collinhill,2022,-1.0,-1.0
Hassan Haskins,LAC,8.0,RB,250.5,hassan haskins,hassanhaskins,2022,22.4,14.0
Chad Muma,JAC,11.0,LB,251.0,chad muma,chadmuma,2022,-1.0,-1.0
Carolina Panthers,DST,13.0,DST,251.0,carolina panthers,carolinapanthers,2022,103.0,-1.0
Braxton Berrios,HOU,6.0,WR,252.0,braxton berrios,braxtonberrios,2022,53.6,16.0
Ben Johnson,FA,0.0,OT,252.0,ben johnson,benjohnson,2022,-1.0,-1.0
Kyle Juszczyk,SF,9.0,RB,253.0,kyle juszczyk,kylejuszczyk,2022,49.7,15.0
Austin Walter,FA,0.0,RB,253.0,austin walter,austinwalter,2022,-1.0,-1.0
Jamison Crowder,FA,0.0,WR,253.5,jamison crowder,jamisoncrowder,2022,12.0,4.0
Donovan Peoples-Jones,NO,14.0,WR,253.7,donovan peoples jones,donovanpeoplesjones,2022,154.9,16.0
Kayvon Thibodeaux,NYG,9.0,DE,254.0,kayvon thibodeaux,kayvonthibodeaux,2022,-1.0,-1.0
